"","name","date","firstbloom","fullbloom","sakura"
"1","Aichi",2018-01-10,2018-03-19,2018-03-27,"1"
"2","Aichi",2018-01-11,2018-03-19,2018-03-27,"1"
"3","Aichi",2018-01-12,2018-03-19,2018-03-27,"1"
"4","Aichi",2018-01-13,2018-03-19,2018-03-27,"1"
"5","Aichi",2018-01-14,2018-03-19,2018-03-27,"1"
"6","Aichi",2018-01-15,2018-03-19,2018-03-27,"1"
"7","Aichi",2018-01-16,2018-03-19,2018-03-27,"1"
"8","Aichi",2018-01-17,2018-03-19,2018-03-27,"1"
"9","Aichi",2018-01-18,2018-03-19,2018-03-27,"1"
"10","Aichi",2018-01-19,2018-03-19,2018-03-27,"1"
"11","Aichi",2018-01-20,2018-03-19,2018-03-27,"1"
"12","Aichi",2018-01-21,2018-03-19,2018-03-27,"1"
"13","Aichi",2018-01-22,2018-03-19,2018-03-27,"1"
"14","Aichi",2018-01-23,2018-03-19,2018-03-27,"1"
"15","Aichi",2018-01-24,2018-03-19,2018-03-27,"1"
"16","Aichi",2018-01-25,2018-03-19,2018-03-27,"1"
"17","Aichi",2018-01-26,2018-03-19,2018-03-27,"1"
"18","Aichi",2018-01-27,2018-03-19,2018-03-27,"1"
"19","Aichi",2018-01-28,2018-03-19,2018-03-27,"1"
"20","Aichi",2018-01-29,2018-03-19,2018-03-27,"1"
"21","Aichi",2018-01-30,2018-03-19,2018-03-27,"1"
"22","Aichi",2018-01-31,2018-03-19,2018-03-27,"1"
"23","Aichi",2018-02-01,2018-03-19,2018-03-27,"1"
"24","Aichi",2018-02-02,2018-03-19,2018-03-27,"1"
"25","Aichi",2018-02-03,2018-03-19,2018-03-27,"1"
"26","Aichi",2018-02-04,2018-03-19,2018-03-27,"1"
"27","Aichi",2018-02-05,2018-03-19,2018-03-27,"1"
"28","Aichi",2018-02-06,2018-03-19,2018-03-27,"1"
"29","Aichi",2018-02-07,2018-03-19,2018-03-27,"1"
"30","Aichi",2018-02-08,2018-03-19,2018-03-27,"1"
"31","Aichi",2018-02-09,2018-03-19,2018-03-27,"1"
"32","Aichi",2018-02-10,2018-03-19,2018-03-27,"1"
"33","Aichi",2018-02-11,2018-03-19,2018-03-27,"1"
"34","Aichi",2018-02-12,2018-03-19,2018-03-27,"1"
"35","Aichi",2018-02-13,2018-03-19,2018-03-27,"1"
"36","Aichi",2018-02-14,2018-03-19,2018-03-27,"1"
"37","Aichi",2018-02-15,2018-03-19,2018-03-27,"1"
"38","Aichi",2018-02-16,2018-03-19,2018-03-27,"1"
"39","Aichi",2018-02-17,2018-03-19,2018-03-27,"1"
"40","Aichi",2018-02-18,2018-03-19,2018-03-27,"1"
"41","Aichi",2018-02-19,2018-03-19,2018-03-27,"1"
"42","Aichi",2018-02-20,2018-03-19,2018-03-27,"1"
"43","Aichi",2018-02-21,2018-03-19,2018-03-27,"1"
"44","Aichi",2018-02-22,2018-03-19,2018-03-27,"1"
"45","Aichi",2018-02-23,2018-03-19,2018-03-27,"1"
"46","Aichi",2018-02-24,2018-03-19,2018-03-27,"1"
"47","Aichi",2018-02-25,2018-03-19,2018-03-27,"1"
"48","Aichi",2018-02-26,2018-03-19,2018-03-27,"1"
"49","Aichi",2018-02-27,2018-03-19,2018-03-27,"1"
"50","Aichi",2018-02-28,2018-03-19,2018-03-27,"1"
"51","Aichi",2018-03-01,2018-03-19,2018-03-27,"1"
"52","Aichi",2018-03-02,2018-03-19,2018-03-27,"1"
"53","Aichi",2018-03-03,2018-03-19,2018-03-27,"1"
"54","Aichi",2018-03-04,2018-03-19,2018-03-27,"1"
"55","Aichi",2018-03-05,2018-03-19,2018-03-27,"1"
"56","Aichi",2018-03-06,2018-03-19,2018-03-27,"1"
"57","Aichi",2018-03-07,2018-03-19,2018-03-27,"1"
"58","Aichi",2018-03-08,2018-03-19,2018-03-27,"1"
"59","Aichi",2018-03-09,2018-03-19,2018-03-27,"1"
"60","Aichi",2018-03-10,2018-03-19,2018-03-27,"1"
"61","Aichi",2018-03-11,2018-03-19,2018-03-27,"1"
"62","Aichi",2018-03-12,2018-03-19,2018-03-27,"1"
"63","Aichi",2018-03-13,2018-03-19,2018-03-27,"1"
"64","Aichi",2018-03-14,2018-03-19,2018-03-27,"1"
"65","Aichi",2018-03-15,2018-03-19,2018-03-27,"1"
"66","Aichi",2018-03-16,2018-03-19,2018-03-27,"1"
"67","Aichi",2018-03-17,2018-03-19,2018-03-27,"1"
"68","Aichi",2018-03-18,2018-03-19,2018-03-27,"1"
"69","Aichi",2018-03-19,2018-03-19,2018-03-27,"2"
"70","Aichi",2018-03-20,2018-03-19,2018-03-27,"3"
"71","Aichi",2018-03-21,2018-03-19,2018-03-27,"3"
"72","Aichi",2018-03-22,2018-03-19,2018-03-27,"3"
"73","Aichi",2018-03-23,2018-03-19,2018-03-27,"3"
"74","Aichi",2018-03-24,2018-03-19,2018-03-27,"3"
"75","Aichi",2018-03-25,2018-03-19,2018-03-27,"3"
"76","Aichi",2018-03-26,2018-03-19,2018-03-27,"3"
"77","Aichi",2018-03-27,2018-03-19,2018-03-27,"4"
"78","Aichi",2018-03-28,2018-03-19,2018-03-27,"3"
"79","Aichi",2018-03-29,2018-03-19,2018-03-27,"3"
"80","Aichi",2018-03-30,2018-03-19,2018-03-27,"3"
"81","Aichi",2018-03-31,2018-03-19,2018-03-27,"3"
"82","Aichi",2018-04-01,2018-03-19,2018-03-27,"3"
"83","Aichi",2018-04-02,2018-03-19,2018-03-27,"2"
"84","Aichi",2018-04-03,2018-03-19,2018-03-27,"2"
"85","Aichi",2018-04-04,2018-03-19,2018-03-27,"1"
"86","Aichi",2018-04-05,2018-03-19,2018-03-27,"1"
"87","Aichi",2018-04-06,2018-03-19,2018-03-27,"1"
"88","Aichi",2018-04-07,2018-03-19,2018-03-27,"1"
"89","Aichi",2018-04-08,2018-03-19,2018-03-27,"1"
"90","Aichi",2018-04-09,2018-03-19,2018-03-27,"1"
"91","Aichi",2018-04-10,2018-03-19,2018-03-27,"1"
"92","Aichi",2018-04-11,2018-03-19,2018-03-27,"1"
"93","Aichi",2018-04-12,2018-03-19,2018-03-27,"1"
"94","Aichi",2018-04-13,2018-03-19,2018-03-27,"1"
"95","Aichi",2018-04-14,2018-03-19,2018-03-27,"1"
"96","Aichi",2018-04-15,2018-03-19,2018-03-27,"1"
"97","Aichi",2018-04-16,2018-03-19,2018-03-27,"1"
"98","Aichi",2018-04-17,2018-03-19,2018-03-27,"1"
"99","Aichi",2018-04-18,2018-03-19,2018-03-27,"1"
"100","Aichi",2018-04-19,2018-03-19,2018-03-27,"1"
"101","Aichi",2018-04-20,2018-03-19,2018-03-27,"1"
"102","Aichi",2018-04-21,2018-03-19,2018-03-27,"1"
"103","Aichi",2018-04-22,2018-03-19,2018-03-27,"1"
"104","Aichi",2018-04-23,2018-03-19,2018-03-27,"1"
"105","Aichi",2018-04-24,2018-03-19,2018-03-27,"1"
"106","Aichi",2018-04-25,2018-03-19,2018-03-27,"1"
"107","Aichi",2018-04-26,2018-03-19,2018-03-27,"1"
"108","Aichi",2018-04-27,2018-03-19,2018-03-27,"1"
"109","Aichi",2018-04-28,2018-03-19,2018-03-27,"1"
"110","Aichi",2018-04-29,2018-03-19,2018-03-27,"1"
"111","Aichi",2018-04-30,2018-03-19,2018-03-27,"1"
"112","Aichi",2018-05-01,2018-03-19,2018-03-27,"1"
"113","Aichi",2018-05-02,2018-03-19,2018-03-27,"1"
"114","Aichi",2018-05-03,2018-03-19,2018-03-27,"1"
"115","Aichi",2018-05-04,2018-03-19,2018-03-27,"1"
"116","Aichi",2018-05-05,2018-03-19,2018-03-27,"1"
"117","Aichi",2018-05-06,2018-03-19,2018-03-27,"1"
"118","Aichi",2018-05-07,2018-03-19,2018-03-27,"1"
"119","Aichi",2018-05-08,2018-03-19,2018-03-27,"1"
"120","Aichi",2018-05-09,2018-03-19,2018-03-27,"1"
"121","Akita",2018-01-10,2018-04-14,2018-04-19,"1"
"122","Akita",2018-01-11,2018-04-14,2018-04-19,"1"
"123","Akita",2018-01-12,2018-04-14,2018-04-19,"1"
"124","Akita",2018-01-13,2018-04-14,2018-04-19,"1"
"125","Akita",2018-01-14,2018-04-14,2018-04-19,"1"
"126","Akita",2018-01-15,2018-04-14,2018-04-19,"1"
"127","Akita",2018-01-16,2018-04-14,2018-04-19,"1"
"128","Akita",2018-01-17,2018-04-14,2018-04-19,"1"
"129","Akita",2018-01-18,2018-04-14,2018-04-19,"1"
"130","Akita",2018-01-19,2018-04-14,2018-04-19,"1"
"131","Akita",2018-01-20,2018-04-14,2018-04-19,"1"
"132","Akita",2018-01-21,2018-04-14,2018-04-19,"1"
"133","Akita",2018-01-22,2018-04-14,2018-04-19,"1"
"134","Akita",2018-01-23,2018-04-14,2018-04-19,"1"
"135","Akita",2018-01-24,2018-04-14,2018-04-19,"1"
"136","Akita",2018-01-25,2018-04-14,2018-04-19,"1"
"137","Akita",2018-01-26,2018-04-14,2018-04-19,"1"
"138","Akita",2018-01-27,2018-04-14,2018-04-19,"1"
"139","Akita",2018-01-28,2018-04-14,2018-04-19,"1"
"140","Akita",2018-01-29,2018-04-14,2018-04-19,"1"
"141","Akita",2018-01-30,2018-04-14,2018-04-19,"1"
"142","Akita",2018-01-31,2018-04-14,2018-04-19,"1"
"143","Akita",2018-02-01,2018-04-14,2018-04-19,"1"
"144","Akita",2018-02-02,2018-04-14,2018-04-19,"1"
"145","Akita",2018-02-03,2018-04-14,2018-04-19,"1"
"146","Akita",2018-02-04,2018-04-14,2018-04-19,"1"
"147","Akita",2018-02-05,2018-04-14,2018-04-19,"1"
"148","Akita",2018-02-06,2018-04-14,2018-04-19,"1"
"149","Akita",2018-02-07,2018-04-14,2018-04-19,"1"
"150","Akita",2018-02-08,2018-04-14,2018-04-19,"1"
"151","Akita",2018-02-09,2018-04-14,2018-04-19,"1"
"152","Akita",2018-02-10,2018-04-14,2018-04-19,"1"
"153","Akita",2018-02-11,2018-04-14,2018-04-19,"1"
"154","Akita",2018-02-12,2018-04-14,2018-04-19,"1"
"155","Akita",2018-02-13,2018-04-14,2018-04-19,"1"
"156","Akita",2018-02-14,2018-04-14,2018-04-19,"1"
"157","Akita",2018-02-15,2018-04-14,2018-04-19,"1"
"158","Akita",2018-02-16,2018-04-14,2018-04-19,"1"
"159","Akita",2018-02-17,2018-04-14,2018-04-19,"1"
"160","Akita",2018-02-18,2018-04-14,2018-04-19,"1"
"161","Akita",2018-02-19,2018-04-14,2018-04-19,"1"
"162","Akita",2018-02-20,2018-04-14,2018-04-19,"1"
"163","Akita",2018-02-21,2018-04-14,2018-04-19,"1"
"164","Akita",2018-02-22,2018-04-14,2018-04-19,"1"
"165","Akita",2018-02-23,2018-04-14,2018-04-19,"1"
"166","Akita",2018-02-24,2018-04-14,2018-04-19,"1"
"167","Akita",2018-02-25,2018-04-14,2018-04-19,"1"
"168","Akita",2018-02-26,2018-04-14,2018-04-19,"1"
"169","Akita",2018-02-27,2018-04-14,2018-04-19,"1"
"170","Akita",2018-02-28,2018-04-14,2018-04-19,"1"
"171","Akita",2018-03-01,2018-04-14,2018-04-19,"1"
"172","Akita",2018-03-02,2018-04-14,2018-04-19,"1"
"173","Akita",2018-03-03,2018-04-14,2018-04-19,"1"
"174","Akita",2018-03-04,2018-04-14,2018-04-19,"1"
"175","Akita",2018-03-05,2018-04-14,2018-04-19,"1"
"176","Akita",2018-03-06,2018-04-14,2018-04-19,"1"
"177","Akita",2018-03-07,2018-04-14,2018-04-19,"1"
"178","Akita",2018-03-08,2018-04-14,2018-04-19,"1"
"179","Akita",2018-03-09,2018-04-14,2018-04-19,"1"
"180","Akita",2018-03-10,2018-04-14,2018-04-19,"1"
"181","Akita",2018-03-11,2018-04-14,2018-04-19,"1"
